cu,stats,duration
0.88,"[3,240001,1398.234,0,0,38760,0]",13101246
0.44,"[3,133842,1259.511,0,0,19380,0]",6889706
0.35,"[3,110453,1132.146,0,0,15504,0]",5037000
0.26,"[3,84330,1652.300,0,0,11628,0]",5124248
0.18,"[3,57623,1418.545,0,0,7752,0]",2768042
0.18,"[3,53005,1277.901,0,0,7752,0]",2584500
0.18,"[3,63954,1792.182,0,0,7752,0]",3462417
0.09,"[3,30626,1342.122,0,0,3876,0]",1396000
0.09,"[3,20626,1371.526,0,0,3876,0]",1366666
0.09,"[3,19958,1218.631,0,0,3876,0]",1189250
0.06,"[3,69325,160.298,0,0,2610,0]",1837414
0.06,"[3,335082,112.065,0,0,2610,0]",2277001
0.06,"[3,62046,144.392,0,0,2610,0]",1666043
0.06,"[3,103626,217.359,0,0,2610,0]",2034457
0.05,"[3,51580,148.252,0,0,2043,0]",1621085
0.04,"[3,2222998,175288.809,0,0,1594,0]",6657456
0.04,"[3,71873,24.712,0,0,1600,0]",3437627
0.03,"[3,46747,29.362,0,0,1212,0]",1819335
0.03,"[3,25001,581.000,0,0,1398,0]",594375
0.01,"[3,0,0,0,0,433,0]",47458
0.01,"[3,0,0,0,0,433,0]",43000
0.01,"[3,0,0,0,0,373,0]",94334
0.01,"[3,0,0,0,0,373,0]",111708
0.01,"[3,40664,24.695,0,0,544,0]",1297249
0.01,"[3,0,0,0,0,433,0]",82375
0.01,"[3,0,0,0,0,373,0]",88083
0.01,"[3,0,0,0,0,433,0]",48583
0.01,"[3,0,0,0,0,373,0]",119916
0.01,"[3,0,0,0,0,373,0]",105000
0.01,"[3,0,0,0,0,433,0]",43208
0.01,"[3,0,0,0,0,433,0]",84125
0.01,"[3,0,0,0,0,373,0]",152542
0.00,"[3,0,0,0,0,12,0]",256875
0.00,"[3,0,0,0,0,12,0]",26500
0.00,"[3,0,0,0,0,177,0]",76458
0.00,"[3,0,0,0,0,12,0]",248375
0.00,"[3,0,0,0,0,177,0]",79292
0.00,"[3,0,0,0,0,177,0]",47125
0.00,"[3,0,0,0,0,12,0]",273750
0.00,"[3,0,0,0,0,111,0]",41375
0.00,"[3,0,0,0,0,12,0]",177709
0.00,"[3,0,0,0,0,111,0]",48333
0.00,"[3,0,0,0,0,87,0]",170000
0.00,"[3,0,0,0,0,12,0]",117208
0.00,"[3,0,0,0,0,12,0]",206709
0.00,"[3,0,0,0,0,12,0]",124541
0.00,"[3,0,0,0,0,111,0]",51375
0.00,"[3,0,0,0,0,111,0]",26125
0.00,"[3,0,0,0,0,12,0]",158000
0.00,"[3,0,0,0,0,177,0]",41958
0.00,"[3,0,0,0,0,12,0]",30708
0.00,"[3,0,0,0,0,12,0]",173917
0.00,"[3,0,0,0,0,12,0]",157833
0.00,"[3,0,0,0,0,12,0]",174208
0.00,"[3,0,0,0,0,111,0]",29833
0.00,"[3,0,0,0,0,177,0]",91500
0.00,"[3,0,0,0,0,177,0]",53916
0.00,"[3,0,0,0,0,12,0]",213875
0.00,"[3,0,0,0,0,177,0]",56542
0.00,"[3,0,0,0,0,177,0]",61167
0.00,"[3,0,0,0,0,12,0]",131792
0.00,"[3,0,0,0,0,12,0]",260542
0.00,"[3,0,0,0,0,12,0]",36958
0.00,"[3,0,0,0,0,12,0]",145167
0.00,"[3,0,0,0,0,111,0]",75750
0.00,"[3,0,0,0,0,111,0]",39917
0.00,"[3,0,0,0,0,177,0]",45958
0.00,"[3,0,0,0,0,12,0]",57416
0.00,"[3,0,0,0,0,12,0]",27209
0.00,"[3,0,0,0,0,12,0]",215750
0.00,"[3,0,0,0,0,12,0]",165167
0.00,"[3,0,0,0,0,177,0]",42666
0.00,"[3,0,0,0,0,12,0]",54583
0.00,"[3,0,0,0,0,12,0]",135625
0.00,"[3,0,0,0,0,12,0]",321416
0.00,"[3,0,0,0,0,177,0]",40208
0.00,"[3,0,0,0,0,12,0]",200375
0.00,"[3,0,0,0,0,177,0]",66917
0.00,"[3,0,0,0,0,111,0]",51375
0.00,"[3,0,0,0,0,177,0]",61000
0.00,"[3,0,0,0,0,12,0]",190250
0.00,"[3,0,0,0,0,12,0]",138917
0.00,"[3,0,0,0,0,12,0]",2435875
0.00,"[3,0,0,0,0,177,0]",49500
0.00,"[3,0,0,0,0,177,0]",55500
0.00,"[3,0,0,0,0,177,0]",59250
0.00,"[3,0,0,0,0,12,0]",180417
0.00,"[3,0,0,0,0,12,0]",147333
0.00,"[3,0,0,0,0,87,0]",134333
0.00,"[3,0,0,0,0,12,0]",95875
0.00,"[3,0,0,0,0,111,0]",26125
0.00,"[3,0,0,0,0,111,0]",57166
0.00,"[3,0,0,0,0,12,0]",229083
0.00,"[3,0,0,0,0,12,0]",147375
0.00,"[3,0,0,0,0,12,0]",102958
0.00,"[3,0,0,0,0,12,0]",206000
0.00,"[3,0,0,0,0,12,0]",128916
0.00,"[3,10628,16.000,0,0,0,0]",371583
0.00,"[3,70791,3042.000,0,0,12,0]",6308333
0.00,"[3,0,0,0,0,12,0]",109583
0.00,"[3,0,0,0,0,111,0]",33000
0.00,"[3,0,0,0,0,12,0]",238750
0.00,"[3,25627,17.398,0,0,0,0]",1370125
0.00,"[3,0,0,0,0,111,0]",22875
0.00,"[3,0,0,0,0,111,0]",55542
0.00,"[3,0,0,0,0,177,0]",48000
0.00,"[3,11377,13.359,0,0,0,0]",701500
0.00,"[3,0,0,0,0,111,0]",40292
0.00,"[3,0,0,0,0,12,0]",222417
0.00,"[3,0,0,0,0,177,0]",48541
0.00,"[3,0,0,0,0,177,0]",35791
0.00,"[3,0,0,0,0,177,0]",57875
0.00,"[3,0,0,0,0,177,0]",52083
0.00,"[3,0,0,0,0,12,0]",121583
0.00,"[3,0,0,0,0,12,0]",248083
0.00,"[3,28375,17.506,0,0,0,0]",1092292
0.00,"[3,31836,17.699,0,0,0,0]",1116915
0.00,"[3,0,0,0,0,12,0]",44875
0.00,"[3,0,0,0,0,12,0]",182166
0.00,"[3,0,0,0,0,177,0]",37333
0.00,"[3,0,0,0,0,177,0]",52541
0.00,"[3,0,0,0,0,12,0]",199125
0.00,"[3,0,0,0,0,177,0]",52042
0.00,"[3,0,0,0,0,12,0]",620208
0.00,"[3,1499,16.000,0,0,0,0]",123917
0.00,"[3,0,0,0,0,12,0]",150042
0.00,"[3,0,0,0,0,12,0]",162375
