cu,stats,duration
0.010,"[3,0,0,0,0,433,0]",24916
0.010,"[3,0,0,0,0,433,0]",24708
0.010,"[3,0,0,0,0,433,0]",64417
0.010,"[3,0,0,0,0,433,0]",26042
0.008,"[3,0,0,0,0,373,0]",98667
0.008,"[3,0,0,0,0,373,0]",71334
0.008,"[3,0,0,0,0,373,0]",74458
0.008,"[3,0,0,0,0,373,0]",81208
0.003,"[3,0,0,0,0,111,0]",37292
0.003,"[3,0,0,0,0,148,0]",57584
0.003,"[3,0,0,0,0,148,0]",36042
0.003,"[3,0,0,0,0,111,0]",57459
0.003,"[3,0,0,0,0,148,0]",30709
0.003,"[3,0,0,0,0,148,0]",44083
0.003,"[3,0,0,0,0,111,0]",24416
0.003,"[3,0,0,0,0,148,0]",71458
0.003,"[3,0,0,0,0,111,0]",60333
0.003,"[3,0,0,0,0,111,0]",46792
0.003,"[3,0,0,0,0,111,0]",32500
0.003,"[3,0,0,0,0,111,0]",20459
0.003,"[3,0,0,0,0,148,0]",27291
0.003,"[3,0,0,0,0,148,0]",41416
0.003,"[3,0,0,0,0,148,0]",36708
0.003,"[3,0,0,0,0,111,0]",51791
0.003,"[3,0,0,0,0,111,0]",25000
0.003,"[3,0,0,0,0,111,0]",29834
0.003,"[3,0,0,0,0,148,0]",35916
0.003,"[3,0,0,0,0,148,0]",25625
0.003,"[3,0,0,0,0,148,0]",27916
0.003,"[3,0,0,0,0,111,0]",24208
0.003,"[3,0,0,0,0,148,0]",48208
0.003,"[3,0,0,0,0,148,0]",45458
0.003,"[3,0,0,0,0,111,0]",38916
0.003,"[3,0,0,0,0,111,0]",24125
0.003,"[3,0,0,0,0,148,0]",56125
0.003,"[3,0,0,0,0,148,0]",30458
0.003,"[3,0,0,0,0,148,0]",45625
0.003,"[3,0,0,0,0,148,0]",49875
0.003,"[3,0,0,0,0,148,0]",46208
0.003,"[3,0,0,0,0,111,0]",50875
0.003,"[3,0,0,0,0,148,0]",39292
0.003,"[3,0,0,0,0,148,0]",34958
0.003,"[3,0,0,0,0,148,0]",45083
0.003,"[3,0,0,0,0,148,0]",50125
0.003,"[3,0,0,0,0,148,0]",35167
0.003,"[3,0,0,0,0,148,0]",32541
0.003,"[3,0,0,0,0,148,0]",46250
0.003,"[3,0,0,0,0,148,0]",37583
0.003,"[3,0,0,0,0,148,0]",39459
0.003,"[3,0,0,0,0,148,0]",48167
0.003,"[3,0,0,0,0,148,0]",43625
0.003,"[3,0,0,0,0,148,0]",26667
0.003,"[3,0,0,0,0,148,0]",48416
0.003,"[3,0,0,0,0,148,0]",51042
0.003,"[3,0,0,0,0,148,0]",28500
0.003,"[3,0,0,0,0,148,0]",30125
0.003,"[3,0,0,0,0,148,0]",57125
